Year,Day,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
1,1,1.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9.91E+05,261,105,38,15,0,0,0,0,0,317,4106,882,180,69,0,0,0,0,0,95,843,746,345,0,0,0,0,0,0,31,181,261,256,0,0,0,0,0,0,15,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,33992,2.28E+05,80783,25487,11270,13,5,0,0,0,17,1.71E+05,2.33E+05,86136,35809,87,17,4,0,0,2,2685,30971,44739,785,345,94,18,2,0,3,149,2935,10436,660,258,72,18,0,0,0,22,54,107,227,132,53,3,0,0,0,0,9,19,33,17,14,0,0,0,0,0,0,2,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1096,6184,1668,452,141,0,0,0,0,0,7819,73326,63108,19911,7281,562,5,1,0,0,2853,69124,1.57E+05,86534,30492,4155,148,2,0,0,1262,24649,95484,1.02E+05,40135,9556,786,62,3,0,870,9411,36315,49868,33431,9209,1469,134,1,0,217,2507,10873,15947,11973,4050,541,48,2,0,1,68,628,2237,2918,697,179,50,0,0,0,4,52,241,398,75,40,20,7,0,0,0,2,2,10,14,11,4,0,0,0,0,0,0,1,0,0,0,0,0
1,5,37,512,1350,803,372,279,75,21,3,0,202,4924,22148,20780,10288,4630,1482,338,70,5,49,3751,39654,78697,59709,29673,10785,2459,442,31,23,1285,20846,78836,1.04E+05,69022,29838,8854,1628,162,7,580,7185,34338,70099,68803,37662,13587,2875,369,4,156,2023,10494,25533,34990,26644,11891,3246,496,0,8,162,1326,5200,9791,9778,5635,1891,288,0,0,4,84,450,1377,1902,1462,592,134,0,0,3,1,25,95,195,195,109,46,0,0,0,0,0,2,12,24,8,4
1,6,1,18,15,19,5,0,0,0,0,0,19,307,1058,738,352,186,49,11,4,0,44,1428,8651,12298,7536,3117,1124,228,56,1,34,1262,14338,39334,39487,21600,7903,1909,327,37,16,664,9892,45386,76451,59715,26802,7854,1387,93,18,380,4753,27543,68468,78831,48548,16970,3336,411,5,140,1947,12251,37027,59169,50492,23204,5882,778,0,48,502,3987,14368,28437,33184,20363,6526,1019,0,4,145,822,3668,9156,13197,11585,5198,1016,0,4,24,127,621,1889,3574,4060,2589,787
1,7,0,17,21,21,12,10,0,0,0,0,8,302,1120,832,371,205,56,11,6,0,30,1387,8615,12241,7533,3176,1067,231,62,4,30,1341,14267,39840,39812,21928,8116,1867,325,28,23,715,10081,44536,76763,59483,27378,7911,1354,132,19,314,4769,27281,68321,79417,48477,17057,3363,434,8,126,1868,11906,36758,59464,51270,23608,6178,965,2,59,505,3751,14163,28661,33225,20862,7043,1361,0,6,106,717,3379,8692,13046,12178,6032,1692,0,0,14,79,389,1292,2422,3044,1940,719
1,8,2,23,18,10,16,4,0,0,0,0,17,327,1220,834,370,198,56,13,5,0,37,1418,8570,12134,7367,3143,1086,233,57,1,25,1246,14240,39554,39607,21620,7774,1821,279,19,29,661,9823,44550,76620,59359,27208,7767,1261,66,13,372,4727,27377,68833,79496,48738,16963,3327,282,5,146,1973,12253,37332,59444,50920,23773,5853,635,2,48,524,3828,14169,28689,33465,20790,7211,944,0,1,90,737,3401,8659,13277,12331,6559,1237,0,1,17,84,417,1275,2565,3096,2308,785
1,9,2,20,29,25,18,4,1,0,0,0,15,278,1069,889,326,198,48,6,3,0,27,1431,8315,12098,7238,3098,1052,225,59,1,33,1266,14088,38886,39365,21644,7757,1712,288,20,37,651,10001,44263,76349,59570,27106,7633,1287,84,8,381,4729,27299,68210,79579,48388,17013,3374,294,3,159,1973,12040,37272,59435,51221,23885,6156,648,2,43,450,3858,14110,28626,33800,21341,7327,974,0,4,105,744,3239,8871,13217,12821,6698,1438,0,1,20,69,405,1302,2492,3254,2462,960
1,10,0,19,22,17,18,6,2,0,0,0,27,305,1096,799,373,213,44,11,2,0,33,1408,8407,12249,7533,3067,1092,247,48,2,21,1242,14284,39126,39143,21751,7836,1822,282,27,26,645,9979,44254,76732,59729,26952,7682,1300,86,11,365,4640,27336,68238,79573,48528,17126,3523,322,4,138,1823,11881,37211,59286,52231,24209,6386,749,2,52,464,3719,13796,28739,34000,21894,7781,1372,0,2,112,658,3083,8071,13130,13154,7294,2081,0,0,7,56,229,876,1669,2238,1925,963
1,11,1,15,35,15,15,5,4,0,0,0,13,275,1025,786,376,230,45,12,4,0,31,1401,8202,12092,7449,3144,1072,240,45,2,14,1261,13986,38733,38697,21444,7902,1783,298,30,37,638,9826,44103,75338,59102,26961,7749,1367,77,10,325,4679,27082,67624,79299,49055,17195,3489,324,6,136,1899,12148,37014,59276,51860,24523,6573,877,2,50,450,3570,13870,28362,34379,22692,8195,1418,0,1,80,634,2967,8276,13295,13414,7808,2172,0,0,11,54,276,846,1729,2300,2127,1088
